,0,1
1,-88.75625705718994,13
2,-141.1860740184784,17
3,-203.00710701942444,23
4,-254.7803990840912,25
5,-293.32066917419434,25
6,-336.8737599849701,25
7,-379.1616451740265,25
8,-428.7661280632019,26
9,-469.60781621932983,27
10,-504.5291531085968,27
11,-558.0286660194397,27
12,-610.6240639686584,27
13,-668.8641200065613,32
14,-714.586709022522,33
15,-752.2642722129822,33
16,-810.5388782024384,34
17,-861.8968131542206,34
18,-905.2915399074554,34
19,-945.366247177124,34
20,-1001.8645250797272,35
21,-1055.6653170585632,36
22,-1113.1736850738525,37
23,-1160.322636127472,37
24,-1211.3930449485779,37
25,-1257.4930112361908,37
26,-1304.142830133438,37
27,-1352.0688209533691,38
28,-1398.2753112316132,38
29,-1441.7664942741394,38
30,-1483.2777881622314,39
