,0,1,2
0,.app.LoginActivity,2,2
1,.app.LoginActivity,2,0
2,.signuplogin.SignupActivity,2,0
3,.signuplogin.SignupActivity,5,2
4,.auth.api.signin.ui.SignInActivity,5,2
5,.signuplogin.SignupActivity,1,0
6,.app.LoginActivity,5,2
7,.onboarding.WelcomeFlowActivity,2,0
8,.onboarding.WelcomeFlowActivity,13,0
9,.onboarding.WelcomeFlowActivity,1,0
10,.onboarding.WelcomeFlowActivity,8,0
11,.onboarding.WelcomeFlowActivity,6,0
12,.onboarding.WelcomeFlowActivity,3,0
13,.home.HomeActivity,0,0
14,.onboarding.WelcomeFlowActivity,0,0
15,.onboarding.FromLanguageActivity,13,0
16,.onboarding.FromLanguageActivity,2,0
17,.onboarding.PlacementTestExplainedActivity,3,0
18,.onboarding.PlacementTestExplainedActivity,2,0
19,.session.Api2SessionActivity,2,0
20,.session.Api2SessionActivity,11,0
21,.session.Api2SessionActivity,5,0
22,.session.Api2SessionActivity,8,1
23,.session.Api2SessionActivity,3,0
24,.session.Api2SessionActivity,6,0
25,.session.Api2SessionActivity,10,1
26,.onboarding.WelcomeFlowActivity,2,2
27,.forum.SentenceDiscussionActivity,4,0
28,.forum.SentenceDiscussionActivity,2,0
29,.forum.SentenceDiscussionActivity,3,0
30,.session.Api2SessionActivity,4,0
31,.forum.SentenceDiscussionActivity,6,0
32,.session.Api2SessionActivity,9,0
33,.session.Api2SessionActivity,0,0
34,.session.Api2SessionActivity,13,0
35,.onboarding.WelcomeFlowActivity,4,0
36,.home.HomeActivity,2,2
37,.onboarding.WelcomeFlowActivity,3,3
38,.session.Api2SessionActivity,8,0
